source page,source page title,review_date,name_and_rating,review_content
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=19&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-03-09 16:36:53,    Stephen        4.0,            I have been with Spark for 12 yrs in AKL and 3 yrs up in Kaitaia.I have just discovered that we are still on ADSL & feel a little pissed that they haven’t suggested or just upgraded us to VDSL so I’ll change supplier now.    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=20&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2020-02-04 08:40:44,    Gareth Ranger        8.4,            Excellent provider with a stable connection but prices are not as competitive as others.    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=21&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-12-27 21:17:06,    Stephanie Malcolmson        7.0,            Been with Spark for years.  Sadly had to leave as didn't have the best of deals for fibre.  No credit offers no free months nothing. So have changed due to that.    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=22&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-11-08 21:51:42,    Margaret Gravestock        7.0,            I am currently on the Spark mobile broadband because when I enquired about fibre three years ago I was told that it wouldn't be available in Te Puke in the foreseeable future.  Two months later the government announced the roll out that is now taking place.    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=23&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-08-23 17:19:43,    Melanie Boyd        7.0,            They were a fine broadband provider but they wouldn't match slingshots deal.    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=24&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-08-12 19:25:01,    Kevin Tiplady        8.0,            good service but price too high    
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=25&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-07-14 20:39:11,    Ralph Christophers        6.6,"            Came to end of our contract and without any messages bumped up the cost.They even have 30/20 internet speed as standard""and charge to be at the market norm of 100/30.Also failed to offer us their newer plans.    """
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=26&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-07-02 14:27:33,    Chris Shinn        2.8,"            Internet kept dropping out and has done for months. Really annoyed at Sparks extra charge for paying by credit card, just greedy adding that!!  They also charged me an Inconvenience fee""  because I was a couple of days late paying one bill. No customer good will there. Would never recommend them!!    """
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=27&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-06-01 16:00:01,    wei        2.4,"            The 0800 team is rude and not serious . I got 4 different answers from 4 person regarding why I suddenly got a more expensive bill while I am still during 1 year fixed contract.
Enough is enough,decide to walk away from this company in no time.    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=28&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-05-13 08:46:43,    Tim Preece        8.2,            I have had good service from Spark but their monthly charges have got too high. Slingshot will give me 6 months at half price and $24.00 a month less than Spark after that.     
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=29&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-05-01 16:56:53,    Jignesh        5.0,"            Good product, but service is not very good.  Often you are being told to wait for hours on the phone which not practical.    "
https://www.broadbandcompare.co.nz/b/spark?section=reviews&sub3=top-menu-4-2&page_r=30&per-page=5,Spark Broadband - Compare Internet Deals and Plans,    2019-04-15 17:02:55,    Dick  Lane        6.6,"            I've been with Spark for a long time, and had fibre for nearly three years.  The speed, though not great - 10 up, 50 down, was fine for my occasional OnDemand viewing etc.  But the cost kept going up, and they weren't prepared to match other offers.    "
